epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7822,4.89054,5.64016,4.19444,0,0,0,0,4.71428,4.02493,3.90591,0.0704762,0.00328042,0.00328042
2,56.8986,3.68996,3.95308,3.01237,0.00263,0.0638,0.00514,0.00126,3.57274,3.82451,3.0117,0.0404325,0.00657011,0.00657011
3,71.3237,2.89204,2.84904,2.06166,0.02971,0.13864,0.01462,0.00423,3.3423,inf,2.83324,0.0103449,0.00981579,0.00981579
4,88.1245,2.50435,2.37203,1.72577,0.41795,0.13452,0.01547,0.00397,nan,nan,nan,0.009802,0.009802,0.009802
5,101.69,2.25491,2.0886,1.55845,0.51938,0.11886,0.04806,0.01572,3.00824,5.4573,1.96162,0.009736,0.009736,0.009736
6,115.427,2.11767,1.89595,1.46143,0.71677,0.27739,0.27932,0.11929,1.97561,1.95056,1.44219,0.00967,0.00967,0.00967
7,129.289,1.99863,1.73102,1.4167,0.60236,0.11368,0.09667,0.03078,2.66711,2.84247,1.73942,0.009604,0.009604,0.009604
8,142.735,1.92474,1.61689,1.36448,0.77139,0.32108,0.34278,0.16961,1.77919,1.45984,1.3327,0.009538,0.009538,0.009538
9,156.047,1.8614,1.52551,1.33732,0.7573,0.30586,0.3274,0.16001,1.81467,1.49846,1.32289,0.009472,0.009472,0.009472
10,169.049,1.80949,1.4505,1.31101,0.77572,0.32531,0.35426,0.17826,1.7059,1.65097,1.30749,0.009406,0.009406,0.009406
11,182.327,1.78545,1.387,1.28512,0.80191,0.32437,0.36659,0.18089,1.78644,1.4915,1.30903,0.00934,0.00934,0.00934
12,195.544,1.75801,1.34343,1.26256,0.77654,0.26698,0.30167,0.14517,1.83035,1.67903,1.34425,0.009274,0.009274,0.009274
13,208.494,1.71316,1.28626,1.24704,0.82825,0.35197,0.40229,0.20452,1.68841,1.18773,1.28156,0.009208,0.009208,0.009208
14,221.692,1.70832,1.26379,1.23872,0.80934,0.33579,0.39099,0.2062,1.70234,1.27478,1.27778,0.009142,0.009142,0.009142
15,235.029,1.65717,1.22104,1.22245,0.79458,0.31413,0.3602,0.18541,1.73672,1.39971,1.28643,0.009076,0.009076,0.009076
