epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6686,1.85438,3.14941,1.14502,0.01779,0.52033,0.17454,0.0911,1.71195,3.17257,1.07361,0.0704762,0.00328042,0.00328042
2,54.7133,1.65623,1.55489,1.08347,0.61838,0.36432,0.40918,0.21094,1.60979,1.59487,1.07446,0.0404325,0.00657011,0.00657011
3,67.907,1.66773,1.41257,1.0822,0.4974,0.29084,0.29938,0.13777,1.77148,1.80368,1.15563,0.0103449,0.00981579,0.00981579
4,80.9501,1.66607,1.39966,1.0829,0.64446,0.30651,0.25006,0.11609,1.93476,4.6689,1.21662,0.009802,0.009802,0.009802
5,94.0768,1.61607,1.31698,1.07294,0.79874,0.36994,0.40703,0.21476,1.60094,1.82485,1.10145,0.009736,0.009736,0.009736
6,106.917,1.58679,1.26729,1.06895,0.78496,0.3345,0.37323,0.18848,1.66062,1.39427,1.13068,0.00967,0.00967,0.00967
7,119.465,1.53792,1.1984,1.05192,0.74208,0.337,0.36572,0.18898,1.71419,1.37272,1.10532,0.009604,0.009604,0.009604
8,132.594,1.5426,1.14047,1.04885,0.36833,0.50088,0.45419,0.24324,1.53804,1.11036,1.05041,0.009538,0.009538,0.009538
9,145.024,1.50387,1.0992,1.0342,0.56496,0.45806,0.47469,0.2666,1.45996,1.1016,1.03578,0.009472,0.009472,0.009472
10,157.644,1.47253,1.06222,1.02411,0.81494,0.42744,0.48554,0.2859,1.51889,1.23071,1.04143,0.009406,0.009406,0.009406
11,170.021,1.47308,1.01472,1.018,0.6307,0.51129,0.53994,0.29896,1.49246,1.1658,1.03511,0.00934,0.00934,0.00934
12,182.333,1.4709,1.00957,1.01684,0.45488,0.49098,0.49388,0.26643,1.57329,1.07571,1.06304,0.009274,0.009274,0.009274
13,194.414,1.44964,0.9695,1.01549,0.46959,0.52438,0.51596,0.29884,1.43124,0.99819,1.00562,0.009208,0.009208,0.009208
14,206.45,1.42358,0.93958,1.00169,0.60644,0.50082,0.54773,0.29887,1.44227,0.98309,1.01133,0.009142,0.009142,0.009142
15,218.801,1.40655,0.91928,0.9993,0.80056,0.58585,0.65024,0.35056,1.37201,0.89745,1.00236,0.009076,0.009076,0.009076
16,231.166,1.39909,0.9113,1.0033,0.65679,0.56713,0.62663,0.35946,1.43459,0.9482,1.01225,0.00901,0.00901,0.00901
17,243.422,1.40893,0.90723,0.99438,0.66908,0.61641,0.63092,0.35625,1.37861,0.85562,0.99774,0.008944,0.008944,0.008944
18,255.565,1.40981,0.90046,0.99419,0.71762,0.53494,0.60104,0.33419,1.44958,0.97829,1.0305,0.008878,0.008878,0.008878
19,267.92,1.38692,0.87301,0.98877,0.64473,0.6591,0.63513,0.35826,1.36406,0.85248,1.00035,0.008812,0.008812,0.008812
20,279.871,1.38641,0.86935,0.99117,0.7691,0.60097,0.63905,0.36425,1.38688,0.86554,0.99346,0.008746,0.008746,0.008746
21,292.46,1.36458,0.84623,0.9872,0.74891,0.60482,0.6435,0.36747,1.36688,0.8118,0.9822,0.00868,0.00868,0.00868
22,304.883,1.35888,0.84074,0.98488,0.66627,0.62492,0.64401,0.37334,1.34619,0.86085,0.98775,0.008614,0.008614,0.008614
23,317.202,1.34166,0.82411,0.97791,0.75218,0.61942,0.68421,0.39506,1.33006,0.83223,0.98456,0.008548,0.008548,0.008548
24,329.511,1.37187,0.83578,0.97717,0.74335,0.66545,0.69416,0.41644,1.33545,0.77438,0.97858,0.008482,0.008482,0.008482
25,341.782,1.34239,0.8165,0.97576,0.84391,0.63187,0.68875,0.39993,1.32738,0.8041,0.98206,0.008416,0.008416,0.008416
26,353.786,1.34369,0.80839,0.97914,0.84339,0.60147,0.71084,0.39691,1.37282,0.80783,0.99768,0.00835,0.00835,0.00835
27,365.747,1.33959,0.80697,0.97583,0.81123,0.6392,0.72341,0.41425,1.31777,0.75265,0.97286,0.008284,0.008284,0.008284
28,378.191,1.3225,0.79159,0.96796,0.68673,0.69938,0.72219,0.42986,1.31853,0.76484,0.96875,0.008218,0.008218,0.008218
29,390.673,1.3365,0.78983,0.96941,0.85104,0.6176,0.71827,0.3929,1.33159,0.76113,0.9741,0.008152,0.008152,0.008152
30,402.713,1.30665,0.76905,0.96585,0.80635,0.66389,0.68433,0.38993,1.35327,0.88194,0.98324,0.008086,0.008086,0.008086
31,414.808,1.30911,0.77099,0.96477,0.78587,0.68283,0.72763,0.43532,1.3303,0.77471,0.97069,0.00802,0.00802,0.00802
32,427.121,1.30364,0.76898,0.96452,0.80306,0.66446,0.72514,0.45151,1.30113,0.77268,0.96483,0.007954,0.007954,0.007954
33,439.677,1.30019,0.7571,0.96376,0.80735,0.69098,0.73298,0.43449,1.3027,0.76806,0.97323,0.007888,0.007888,0.007888
34,451.718,1.27771,0.74867,0.95998,0.87482,0.71896,0.75885,0.44618,1.3027,0.72886,0.96266,0.007822,0.007822,0.007822
35,463.979,1.27814,0.74042,0.9563,0.85397,0.63644,0.71119,0.42705,1.29907,0.77004,0.9639,0.007756,0.007756,0.007756
36,476.344,1.29671,0.75348,0.96025,0.77229,0.65213,0.69952,0.43365,1.3211,0.7533,0.97324,0.00769,0.00769,0.00769
37,488.382,1.28664,0.74813,0.95655,0.84625,0.67532,0.74002,0.43782,1.33958,0.78846,0.98009,0.007624,0.007624,0.007624
38,500.624,1.27985,0.72976,0.958,0.81953,0.63109,0.71069,0.40738,1.33123,0.76743,0.97538,0.007558,0.007558,0.007558
39,512.715,1.28861,0.73444,0.95547,0.86096,0.68048,0.73132,0.44968,1.31059,0.73944,0.973,0.007492,0.007492,0.007492
40,524.979,1.26035,0.72554,0.95568,0.7418,0.56916,0.63994,0.40126,1.35829,0.78276,0.98223,0.007426,0.007426,0.007426
41,536.96,1.26883,0.72541,0.94803,0.77846,0.63856,0.68365,0.42138,1.31027,0.74053,0.96896,0.00736,0.00736,0.00736
42,549.532,1.26102,0.71994,0.94901,0.84721,0.64969,0.73612,0.43874,1.31329,0.71628,0.96549,0.007294,0.007294,0.007294
43,561.649,1.26377,0.71482,0.951,0.85328,0.63775,0.71603,0.42977,1.28041,0.72597,0.96403,0.007228,0.007228,0.007228
44,573.598,1.26141,0.71568,0.9485,0.76187,0.69385,0.74333,0.44716,1.27758,0.70635,0.96342,0.007162,0.007162,0.007162
45,585.914,1.24631,0.70808,0.94272,0.82314,0.69812,0.75316,0.4677,1.27717,0.71314,0.95602,0.007096,0.007096,0.007096
46,598.507,1.24915,0.70092,0.94581,0.86413,0.69791,0.75495,0.46029,1.27871,0.70628,0.95393,0.00703,0.00703,0.00703
47,611.149,1.23584,0.69781,0.94039,0.78913,0.69479,0.74398,0.44917,1.27208,0.68892,0.96331,0.006964,0.006964,0.006964
48,623.214,1.24589,0.69706,0.94863,0.73393,0.6777,0.72753,0.42901,1.31111,0.71728,0.96904,0.006898,0.006898,0.006898
49,635.523,1.24696,0.69955,0.93993,0.87465,0.67745,0.76187,0.4482,1.29639,0.70167,0.96249,0.006832,0.006832,0.006832
50,647.699,1.22929,0.69053,0.94348,0.78609,0.68124,0.74777,0.45733,1.26682,0.69948,0.95811,0.006766,0.006766,0.006766
51,659.645,1.22298,0.68545,0.93948,0.69718,0.71477,0.74246,0.4565,1.25154,0.68623,0.95402,0.0067,0.0067,0.0067
52,671.826,1.22726,0.68066,0.93684,0.80693,0.70936,0.76918,0.47289,1.25225,0.67663,0.95155,0.006634,0.006634,0.006634
53,684.14,1.21775,0.67562,0.93779,0.87055,0.69165,0.77137,0.47521,1.26749,0.69433,0.95386,0.006568,0.006568,0.006568
54,696.446,1.21764,0.67753,0.93913,0.7887,0.71816,0.7847,0.48227,1.25374,0.66598,0.94713,0.006502,0.006502,0.006502
55,708.873,1.21681,0.66898,0.93837,0.82642,0.67067,0.73758,0.45274,1.26634,0.68439,0.95256,0.006436,0.006436,0.006436
56,721.011,1.21571,0.66775,0.9327,0.87994,0.72102,0.77769,0.47029,1.28747,0.67292,0.96236,0.00637,0.00637,0.00637
57,733.255,1.19683,0.65917,0.93125,0.85662,0.79307,0.81719,0.48751,1.26443,0.66827,0.95771,0.006304,0.006304,0.006304
58,746.026,1.20008,0.66064,0.93213,0.80998,0.75649,0.82137,0.50853,1.24695,0.65788,0.94808,0.006238,0.006238,0.006238
59,758.69,1.21796,0.66786,0.93346,0.88456,0.71871,0.78129,0.47969,1.2562,0.66826,0.95034,0.006172,0.006172,0.006172
60,770.856,1.20656,0.66075,0.93092,0.85782,0.66195,0.78064,0.48826,1.26654,0.66565,0.94819,0.006106,0.006106,0.006106
61,783.014,1.21482,0.65691,0.9334,0.89298,0.70209,0.76182,0.46193,1.28555,0.6798,0.95741,0.00604,0.00604,0.00604
62,794.991,1.19699,0.65384,0.9298,0.91348,0.72626,0.79118,0.47724,1.25659,0.66849,0.94419,0.005974,0.005974,0.005974
63,807.334,1.18581,0.64631,0.92516,0.88809,0.6674,0.7502,0.46288,1.23628,0.64872,0.9409,0.005908,0.005908,0.005908
64,819.66,1.18505,0.64396,0.92948,0.85403,0.71397,0.785,0.50154,1.24341,0.64864,0.94605,0.005842,0.005842,0.005842
65,831.797,1.18829,0.64261,0.92803,0.8585,0.7116,0.77519,0.48168,1.241,0.66025,0.94253,0.005776,0.005776,0.005776
66,843.947,1.17088,0.63866,0.92426,0.8491,0.76689,0.79618,0.50262,1.24228,0.65124,0.94553,0.00571,0.00571,0.00571
67,856.038,1.16228,0.62984,0.91871,0.86263,0.72107,0.79431,0.50172,1.22701,0.63626,0.94253,0.005644,0.005644,0.005644
