epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.871,5.59099,11.5341,4.39111,0,0,0,0,5.63759,4.45034,4.0396,0.0706818,0.00325758,0.00325758
2,47.8236,4.60693,4.65648,3.66372,0,0,0,0,5.43129,4.70069,3.82688,0.0406383,0.00654741,0.00654741
3,63.9748,3.52851,3.23323,2.46504,0.08569,0.0478,0.01628,0.00408,3.38485,3.63641,2.41087,0.0105508,0.00979324,0.00979324
4,80.8833,3.00895,2.73623,1.85797,0.00378,0.0086,0.0026,0.00064,3.92938,42.1338,3.21775,0.009802,0.009802,0.009802
5,98.11,2.74354,2.41602,1.62252,0.26876,0.23709,0.14918,0.04554,2.75122,10.3268,1.57766,0.009736,0.009736,0.009736
6,115.895,2.58292,2.16489,1.52636,0.36328,0.26004,0.21524,0.07739,2.58594,4.66047,1.5356,0.00967,0.00967,0.00967
7,134.094,2.45875,2.03273,1.43847,0.51526,0.32505,0.32966,0.1165,2.28558,3.78443,1.36965,0.009604,0.009604,0.009604
8,152.183,2.35701,1.88962,1.36792,0.43038,0.29063,0.28195,0.10652,2.26567,2.41644,1.3655,0.009538,0.009538,0.009538
9,169.525,2.2916,1.75326,1.36105,0.48825,0.37094,0.34827,0.12569,2.25132,2.44172,1.29183,0.009472,0.009472,0.009472
10,187.306,2.23831,1.65645,1.33236,0.56669,0.42161,0.41833,0.15412,2.12439,2.23924,1.2768,0.009406,0.009406,0.009406
11,205.006,2.15294,1.59977,1.29814,0.57167,0.42925,0.41826,0.14875,2.14473,1.6838,1.26326,0.00934,0.00934,0.00934
12,222.139,2.13423,1.49777,1.28269,0.55326,0.41438,0.4278,0.17245,2.0617,1.63981,1.24109,0.009274,0.009274,0.009274
13,239.85,2.06875,1.46051,1.27666,0.6357,0.4675,0.49235,0.20805,2.01326,1.48963,1.20978,0.009208,0.009208,0.009208
14,257.508,2.05919,1.39713,1.24107,0.62461,0.40822,0.4522,0.18926,1.99649,2.34072,1.23125,0.009142,0.009142,0.009142
15,274.629,1.99494,1.39382,1.22713,0.60781,0.47514,0.49485,0.20013,2.01176,1.44055,1.18563,0.009076,0.009076,0.009076
16,291.673,1.99592,1.34591,1.22436,0.677,0.5239,0.5496,0.22247,1.94354,1.30817,1.1784,0.00901,0.00901,0.00901
17,309.498,2.00901,1.34532,1.21555,0.66431,0.52199,0.54444,0.23092,1.88901,1.54655,1.18385,0.008944,0.008944,0.008944
18,327.197,1.93721,1.27531,1.18985,0.66763,0.50505,0.53068,0.21762,1.95569,1.35401,1.18873,0.008878,0.008878,0.008878
19,344.194,1.95157,1.2624,1.19004,0.68407,0.48279,0.52664,0.21518,1.93954,1.3589,1.17798,0.008812,0.008812,0.008812
20,361.269,1.90578,1.23501,1.19011,0.67483,0.5086,0.55614,0.22976,1.95089,1.42433,1.18272,0.008746,0.008746,0.008746
21,379.739,1.88479,1.22217,1.18295,0.64354,0.54589,0.56346,0.23511,1.87611,1.40755,1.14363,0.00868,0.00868,0.00868
22,397.695,1.87583,1.18153,1.17928,0.74226,0.58367,0.62593,0.28246,1.79622,1.1692,1.13692,0.008614,0.008614,0.008614
23,415.079,1.82074,1.15369,1.15849,0.72086,0.58031,0.62244,0.2704,1.83348,1.23968,1.13576,0.008548,0.008548,0.008548
24,432.111,1.84289,1.17793,1.17748,0.76487,0.58604,0.64633,0.28112,1.8089,1.12996,1.13054,0.008482,0.008482,0.008482
25,449.569,1.88804,1.1598,1.1591,0.77037,0.55641,0.62778,0.27453,1.81001,1.13411,1.12883,0.008416,0.008416,0.008416
26,466.762,1.82788,1.11542,1.14654,0.79185,0.56597,0.63276,0.27481,1.8684,1.18751,1.13851,0.00835,0.00835,0.00835
27,483.97,1.82728,1.1039,1.14265,0.74946,0.62333,0.65701,0.27996,1.83973,1.17267,1.1288,0.008284,0.008284,0.008284
28,501.386,1.80745,1.09315,1.14714,0.77182,0.6144,0.66479,0.29481,1.77359,1.08807,1.10771,0.008218,0.008218,0.008218
29,518.754,1.78777,1.0852,1.13843,0.75676,0.58296,0.65042,0.3,1.75016,1.15298,1.10032,0.008152,0.008152,0.008152
30,536.381,1.79093,1.06775,1.13955,0.72692,0.61076,0.64927,0.29034,1.78804,1.08545,1.12072,0.008086,0.008086,0.008086
31,553.732,1.80267,1.08117,1.13694,0.69944,0.50956,0.55541,0.25288,1.86213,1.39002,1.14724,0.00802,0.00802,0.00802
32,570.837,1.76206,1.03442,1.11716,0.80257,0.59751,0.67211,0.30097,1.7871,1.08973,1.11012,0.007954,0.007954,0.007954
33,588.285,1.74543,1.02789,1.13206,0.76994,0.58987,0.64769,0.29254,1.77695,1.06994,1.10602,0.007888,0.007888,0.007888
34,605.416,1.75296,1.02722,1.12874,0.78373,0.58795,0.65182,0.29722,1.76709,1.09882,1.0943,0.007822,0.007822,0.007822
35,622.41,1.74516,1.03298,1.12776,0.76818,0.62428,0.68156,0.31154,1.76059,1.06047,1.104,0.007756,0.007756,0.007756
36,639.942,1.75005,1.0095,1.12455,0.79716,0.60866,0.68384,0.30947,1.76059,1.04168,1.10187,0.00769,0.00769,0.00769
37,657.232,1.72732,1.00403,1.11336,0.78125,0.60777,0.67931,0.31057,1.74166,1.05725,1.10104,0.007624,0.007624,0.007624
38,674.639,1.72487,0.99246,1.12492,0.71872,0.58604,0.62843,0.28926,1.79892,1.0832,1.11802,0.007558,0.007558,0.007558
