epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2698,5.69362,12.7627,4.32729,0,0,0,0,5.71018,5.24884,4.11258,0.0706818,0.00325758,0.00325758
2,56.3398,4.8164,5.06593,3.78105,0,0,0,0,5.38638,4.72637,3.80623,0.0406383,0.00654741,0.00654741
3,71.6633,3.56994,3.38938,2.50768,0.0674,0.06119,0.01436,0.00386,3.44892,11.8165,2.43502,0.0105508,0.00979324,0.00979324
4,89.5354,3.0057,2.74118,1.87845,0.07298,0.13671,0.03376,0.00894,3.27945,31.2428,2.85741,0.009802,0.009802,0.009802
5,106.398,2.74638,2.43825,1.63548,0.00407,0.16061,0.00185,0.0007,3.18853,inf,2.50557,0.009736,0.009736,0.009736
6,122.859,2.55622,2.22148,1.52783,0.17385,0.16539,0.08268,0.03239,2.48354,18.2269,1.51539,0.00967,0.00967,0.00967
7,139.337,2.4881,2.05991,1.45299,0.45609,0.31166,0.28023,0.10136,2.36809,2.68383,1.38438,0.009604,0.009604,0.009604
8,156.218,2.38374,1.91573,1.37301,0.4165,0.2782,0.26314,0.10312,2.32872,3.96124,1.34742,0.009538,0.009538,0.009538
9,173.273,2.30539,1.80306,1.36908,0.45154,0.35468,0.32061,0.10884,2.42722,1.96132,1.3855,0.009472,0.009472,0.009472
10,190.175,2.27939,1.66809,1.32927,0.47845,0.3327,0.31114,0.12187,2.22304,2.34705,1.31831,0.009406,0.009406,0.009406
11,207.222,2.18672,1.61659,1.31152,0.59208,0.43499,0.44773,0.16518,2.1022,1.57294,1.25099,0.00934,0.00934,0.00934
12,223.407,2.1511,1.53135,1.2845,0.58431,0.42447,0.45797,0.17157,2.10336,1.51759,1.23996,0.009274,0.009274,0.009274
13,239.878,2.11431,1.48867,1.28974,0.6732,0.44933,0.49628,0.19631,2.07509,1.40752,1.2438,0.009208,0.009208,0.009208
14,256.654,2.09822,1.42545,1.25683,0.61025,0.44307,0.45679,0.18514,2.09422,1.50725,1.24931,0.009142,0.009142,0.009142
15,273.34,2.0485,1.41305,1.24175,0.58533,0.42734,0.46368,0.20014,2.00743,1.44236,1.21117,0.009076,0.009076,0.009076
16,290.679,2.02239,1.36495,1.22892,0.69074,0.5018,0.54076,0.21612,1.95491,1.33771,1.18932,0.00901,0.00901,0.00901
17,308.089,2.04786,1.35192,1.2202,0.60431,0.48619,0.5127,0.20611,1.98916,1.43963,1.20019,0.008944,0.008944,0.008944
18,324.706,1.96048,1.28098,1.1988,0.66179,0.50321,0.54135,0.2109,2.0102,1.31847,1.18902,0.008878,0.008878,0.008878
19,341.435,1.97064,1.2836,1.19829,0.65303,0.43499,0.48559,0.18962,2.07652,1.44539,1.21234,0.008812,0.008812,0.008812
20,358.489,1.95099,1.24844,1.19837,0.73537,0.53728,0.59019,0.241,1.92875,1.28575,1.17415,0.008746,0.008746,0.008746
21,375.397,1.92104,1.24901,1.19523,0.69095,0.47514,0.51766,0.20315,1.97199,1.42849,1.19952,0.00868,0.00868,0.00868
22,391.92,1.90316,1.19759,1.19009,0.70913,0.52677,0.59438,0.25021,1.90757,1.31104,1.15422,0.008614,0.008614,0.008614
23,408.869,1.87578,1.18165,1.17312,0.74486,0.52294,0.60759,0.25062,1.90371,1.2435,1.14626,0.008548,0.008548,0.008548
24,426.269,1.90006,1.22103,1.20554,0.67301,0.54504,0.57174,0.23658,1.86363,1.24599,1.15079,0.008482,0.008482,0.008482
25,443.014,1.92491,1.18347,1.17838,0.73151,0.54685,0.59581,0.23595,1.93388,1.18786,1.15175,0.008416,0.008416,0.008416
26,459.681,1.87363,1.14233,1.16645,0.71742,0.54612,0.57786,0.24582,1.85799,1.23958,1.14405,0.00835,0.00835,0.00835
27,476.401,1.87049,1.15097,1.15951,0.74721,0.54823,0.60283,0.26031,1.90163,1.17021,1.14914,0.008284,0.008284,0.008284
28,493.345,1.84647,1.12656,1.16139,0.7351,0.60134,0.63143,0.26371,1.81706,1.16718,1.12063,0.008218,0.008218,0.008218
29,510.033,1.83661,1.13051,1.16272,0.73265,0.5478,0.61188,0.26656,1.84929,1.13755,1.13535,0.008152,0.008152,0.008152
30,526.937,1.8373,1.10238,1.15548,0.75072,0.58733,0.64467,0.27265,1.85171,1.12228,1.14404,0.008086,0.008086,0.008086
31,543.525,1.84648,1.11543,1.1573,0.67062,0.54971,0.57345,0.24221,1.91313,1.22015,1.1547,0.00802,0.00802,0.00802
32,560.333,1.81309,1.07493,1.13823,0.75728,0.60803,0.65059,0.26884,1.8111,1.09055,1.11707,0.007954,0.007954,0.007954
33,577.069,1.79938,1.06929,1.15701,0.76107,0.59381,0.66813,0.29327,1.80618,1.10868,1.11549,0.007888,0.007888,0.007888
34,594.099,1.7858,1.05746,1.14434,0.74007,0.54398,0.61836,0.26856,1.84477,1.13806,1.1359,0.007822,0.007822,0.007822
35,610.916,1.78577,1.06043,1.14126,0.76488,0.63289,0.69975,0.30154,1.77455,1.0344,1.103,0.007756,0.007756,0.007756
36,627.932,1.78538,1.04554,1.13758,0.76946,0.60038,0.67311,0.29891,1.79445,1.08452,1.11426,0.00769,0.00769,0.00769
37,644.384,1.76332,1.03489,1.12686,0.77074,0.61855,0.68187,0.30724,1.74647,1.05212,1.09847,0.007624,0.007624,0.007624
38,661.407,1.76646,1.02677,1.13653,0.74884,0.65275,0.69238,0.31334,1.69954,0.99253,1.08552,0.007558,0.007558,0.007558
39,677.818,1.78367,1.0456,1.1403,0.79882,0.61281,0.68028,0.30773,1.6964,1.07994,1.0755,0.007492,0.007492,0.007492
40,694.071,1.75788,1.00043,1.12492,0.7802,0.62428,0.68166,0.29758,1.7868,1.02827,1.1062,0.007426,0.007426,0.007426
41,710.822,1.74565,1.03207,1.11266,0.77614,0.59943,0.67012,0.31531,1.73451,0.99751,1.10013,0.00736,0.00736,0.00736
42,727.33,1.72601,0.98729,1.11582,0.78496,0.63384,0.69191,0.30592,1.78276,1.01353,1.09631,0.007294,0.007294,0.007294
43,744.54,1.71604,0.98525,1.11431,0.81915,0.64089,0.71063,0.32535,1.66326,0.96595,1.07227,0.007228,0.007228,0.007228
44,761.303,1.72359,0.97931,1.11026,0.77865,0.62217,0.68528,0.30116,1.76942,1.05936,1.09169,0.007162,0.007162,0.007162
45,777.772,1.69777,0.97933,1.10335,0.78653,0.64436,0.70331,0.31065,1.72232,1.08203,1.09192,0.007096,0.007096,0.007096
46,794.215,1.70228,0.97543,1.11464,0.75862,0.66635,0.71266,0.3249,1.74031,0.9571,1.08649,0.00703,0.00703,0.00703
47,812.251,1.67815,0.95666,1.09417,0.80384,0.63958,0.70773,0.32147,1.71187,1.01235,1.07805,0.006964,0.006964,0.006964
48,829.637,1.68886,0.95185,1.09815,0.78876,0.61281,0.6864,0.30926,1.74223,1.05041,1.09,0.006898,0.006898,0.006898
49,846.123,1.69403,0.95747,1.09773,0.79864,0.66635,0.72583,0.3316,1.68644,0.93721,1.07343,0.006832,0.006832,0.006832
50,863.597,1.66784,0.93866,1.11018,0.82885,0.62906,0.72134,0.32618,1.732,0.96012,1.08258,0.006766,0.006766,0.006766
51,879.984,1.67012,0.93525,1.09156,0.80063,0.65392,0.71594,0.32923,1.69685,0.93733,1.07017,0.0067,0.0067,0.0067
52,896.442,1.66624,0.92868,1.08839,0.76431,0.68204,0.71691,0.33483,1.66455,0.94151,1.06746,0.006634,0.006634,0.006634
53,913.72,1.64878,0.9194,1.08076,0.78069,0.64627,0.69889,0.3228,1.67204,1.01065,1.06545,0.006568,0.006568,0.006568
54,930.331,1.63931,0.8912,1.06514,0.79366,0.64723,0.70837,0.33021,1.67472,0.93798,1.07008,0.006502,0.006502,0.006502
55,946.701,1.64055,0.91176,1.07993,0.82134,0.63287,0.72841,0.35394,1.64886,0.9173,1.06376,0.006436,0.006436,0.006436
56,963.502,1.65288,0.92787,1.09268,0.79872,0.67907,0.72573,0.32989,1.72487,0.94526,1.08167,0.00637,0.00637,0.00637
57,980.131,1.65845,0.90985,1.08523,0.79651,0.67686,0.72443,0.33866,1.66987,0.91393,1.06662,0.006304,0.006304,0.006304
58,996.683,1.63849,0.90588,1.08464,0.82295,0.68433,0.75316,0.35416,1.66408,0.8702,1.06404,0.006238,0.006238,0.006238
59,1013.82,1.60395,0.86487,1.05728,0.77174,0.6501,0.69165,0.31566,1.72761,0.99655,1.08688,0.006172,0.006172,0.006172
60,1030.52,1.64746,0.89353,1.08439,0.82614,0.67235,0.73402,0.33638,1.67745,0.96198,1.07516,0.006106,0.006106,0.006106
