epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3848,5.55859,9.48706,4.32496,0,0,0,0,5.55323,4.61357,3.92876,0.0706818,0.00325758,0.00325758
2,76.0888,4.71653,4.73697,3.70693,0,0,0,0,5.38333,4.65824,3.77701,0.0406383,0.00654741,0.00654741
3,99.7175,3.72994,3.55616,2.6981,0.03036,0.1195,0.0326,0.01303,3.46818,3.8691,2.3169,0.0105508,0.00979324,0.00979324
4,123.014,3.071,2.89917,1.96222,0.08128,0.0631,0.02156,0.00619,3.48973,3.92332,2.28384,0.009802,0.009802,0.009802
5,143.817,2.7848,2.52866,1.6676,0.23941,0.20076,0.12253,0.03367,3.03093,9.3163,1.71498,0.009736,0.009736,0.009736
6,163.543,2.62666,2.22272,1.57508,0.15323,0.14627,0.0726,0.02331,2.66299,19.6851,1.67978,0.00967,0.00967,0.00967
7,182.919,2.4809,2.08267,1.4628,0.43649,0.34512,0.30088,0.10227,2.30761,2.91181,1.35895,0.009604,0.009604,0.009604
8,206.687,2.3923,1.943,1.39967,0.4219,0.32792,0.28926,0.11117,2.36369,2.60568,1.39955,0.009538,0.009538,0.009538
9,230.64,2.33059,1.83839,1.38764,0.48222,0.34457,0.3198,0.11673,2.314,2.02194,1.33662,0.009472,0.009472,0.009472
10,254.399,2.29432,1.72697,1.34508,0.54432,0.37954,0.37379,0.1396,2.22846,1.88721,1.31824,0.009406,0.009406,0.009406
11,276.617,2.20587,1.6644,1.31853,0.54067,0.36616,0.37136,0.12837,2.22036,1.75236,1.2965,0.00934,0.00934,0.00934
12,296.796,2.16731,1.57127,1.3044,0.56741,0.42065,0.417,0.16304,2.11622,1.58514,1.26601,0.009274,0.009274,0.009274
13,315.221,2.12872,1.53251,1.30429,0.60296,0.40535,0.42152,0.16331,2.11659,1.52775,1.26401,0.009208,0.009208,0.009208
14,337.193,2.09668,1.45405,1.26466,0.54603,0.44264,0.44292,0.18303,2.09109,1.75921,1.25651,0.009142,0.009142,0.009142
15,360.913,2.04121,1.40288,1.2402,0.57454,0.48025,0.49212,0.18701,2.11826,1.53977,1.25527,0.009076,0.009076,0.009076
16,384.955,2.01205,1.36842,1.23053,0.69237,0.49059,0.5405,0.227,1.98602,1.45312,1.20955,0.00901,0.00901,0.00901
17,407.831,2.0451,1.34592,1.22544,0.64498,0.50669,0.53561,0.21911,2.01011,1.38209,1.21347,0.008944,0.008944,0.008944
18,429.18,1.98227,1.27728,1.21311,0.61134,0.42447,0.44827,0.1707,2.12605,1.51959,1.25764,0.008878,0.008878,0.008878
19,449.71,1.96949,1.26688,1.19876,0.6983,0.53633,0.58319,0.23996,1.95111,1.24516,1.18525,0.008812,0.008812,0.008812
20,467.765,1.94708,1.24875,1.20677,0.66466,0.52678,0.56437,0.23471,1.94205,1.48444,1.18114,0.008746,0.008746,0.008746
21,490.487,1.92248,1.22388,1.19437,0.69228,0.51912,0.55245,0.21754,2.01001,1.38192,1.20508,0.00868,0.00868,0.00868
22,513.889,1.88882,1.19506,1.19232,0.67137,0.52486,0.57248,0.23855,1.93462,1.28724,1.18099,0.008614,0.008614,0.008614
23,535.459,1.87651,1.18333,1.17873,0.65359,0.48184,0.52042,0.2068,2.04154,1.46375,1.21477,0.008548,0.008548,0.008548
24,556.168,1.90142,1.19627,1.20256,0.7344,0.56692,0.60435,0.25536,1.86238,1.26771,1.15716,0.008482,0.008482,0.008482
25,576.756,1.91536,1.1665,1.17544,0.72684,0.5749,0.6252,0.25911,1.86731,1.16435,1.1381,0.008416,0.008416,0.008416
26,596.345,1.85459,1.11726,1.15987,0.74464,0.53804,0.59553,0.25901,1.87723,1.23546,1.14222,0.00835,0.00835,0.00835
27,619.426,1.85476,1.11506,1.15467,0.72373,0.60994,0.6282,0.26597,1.89778,1.1558,1.15244,0.008284,0.008284,0.008284
28,643.253,1.85086,1.11215,1.16368,0.75586,0.57839,0.63647,0.27409,1.78925,1.16035,1.12473,0.008218,0.008218,0.008218
29,667.552,1.83664,1.09069,1.15961,0.71623,0.60566,0.64679,0.28108,1.82669,1.14072,1.11911,0.008152,0.008152,0.008152
30,690.588,1.82635,1.08125,1.15747,0.79472,0.55163,0.64274,0.28115,1.83788,1.12698,1.13551,0.008086,0.008086,0.008086
31,711.256,1.82346,1.09263,1.15177,0.72023,0.57648,0.61613,0.27066,1.81709,1.16098,1.1355,0.00802,0.00802,0.00802
32,730.658,1.80331,1.05656,1.13091,0.74443,0.57744,0.64131,0.2769,1.83081,1.14689,1.11507,0.007954,0.007954,0.007954
33,749.557,1.77295,1.05126,1.14353,0.75764,0.58891,0.6431,0.29239,1.80441,1.07746,1.12081,0.007888,0.007888,0.007888
34,772.801,1.77154,1.0424,1.13454,0.74919,0.60803,0.64985,0.27844,1.77785,1.07794,1.10588,0.007822,0.007822,0.007822
35,796.486,1.76147,1.04084,1.13429,0.73424,0.64447,0.68097,0.30237,1.77442,1.04292,1.09921,0.007756,0.007756,0.007756
36,820.262,1.76091,1.03447,1.12714,0.76418,0.59369,0.66595,0.29352,1.84869,1.10181,1.13517,0.00769,0.00769,0.00769
37,841.467,1.75505,1.01613,1.12399,0.765,0.67973,0.71687,0.3102,1.76282,0.9949,1.09882,0.007624,0.007624,0.007624
38,862.021,1.72962,0.98353,1.12144,0.76953,0.64054,0.70332,0.32496,1.69938,0.99676,1.08823,0.007558,0.007558,0.007558
39,879.649,1.75449,1.01229,1.1328,0.74999,0.61375,0.66401,0.28758,1.80627,1.0916,1.11729,0.007492,0.007492,0.007492
40,902.134,1.7263,0.96586,1.11848,0.75775,0.63193,0.68331,0.30489,1.76079,1.1101,1.09839,0.007426,0.007426,0.007426
41,925.697,1.7427,1.00041,1.11151,0.76997,0.65392,0.70779,0.31568,1.76397,1.03605,1.10343,0.00736,0.00736,0.00736
42,948.665,1.70491,0.96354,1.10601,0.80502,0.61281,0.68988,0.30529,1.79958,1.07119,1.10002,0.007294,0.007294,0.007294
43,969.308,1.69393,0.96307,1.10297,0.79593,0.64508,0.70075,0.31058,1.74632,0.97286,1.08953,0.007228,0.007228,0.007228
44,990.021,1.70818,0.95856,1.10893,0.79491,0.63734,0.70959,0.32231,1.74146,1.00119,1.08475,0.007162,0.007162,0.007162
45,1008.17,1.66563,0.94452,1.09261,0.7459,0.54111,0.61236,0.27325,1.8567,1.25918,1.13482,0.007096,0.007096,0.007096
46,1030.52,1.67406,0.93678,1.10201,0.78913,0.68333,0.72084,0.33366,1.70125,0.9581,1.0798,0.00703,0.00703,0.00703
47,1054.59,1.66314,0.9381,1.0926,0.8154,0.66635,0.72484,0.3366,1.72647,0.94928,1.08602,0.006964,0.006964,0.006964
48,1078.43,1.65792,0.92289,1.08911,0.81373,0.63767,0.69611,0.30638,1.772,1.08018,1.09978,0.006898,0.006898,0.006898
49,1100.25,1.66991,0.92366,1.08634,0.80872,0.68356,0.7494,0.35005,1.67516,0.95148,1.07117,0.006832,0.006832,0.006832
50,1121.6,1.63841,0.90149,1.10076,0.78528,0.68738,0.73697,0.3268,1.73017,1.03919,1.08699,0.006766,0.006766,0.006766
51,1141.33,1.63304,0.90367,1.07482,0.78315,0.66348,0.71222,0.33057,1.69045,0.9462,1.07591,0.0067,0.0067,0.0067
52,1160.45,1.64912,0.89678,1.08828,0.77938,0.66252,0.71522,0.32344,1.73966,0.9689,1.08651,0.006634,0.006634,0.006634
53,1183.99,1.6188,0.89591,1.07224,0.80558,0.67343,0.74141,0.34041,1.67593,0.93826,1.06884,0.006568,0.006568,0.006568
54,1207.58,1.61839,0.87376,1.06002,0.79554,0.66212,0.72641,0.33717,1.68969,0.95194,1.0794,0.006502,0.006502,0.006502
55,1229.12,1.62219,0.90267,1.08091,0.78253,0.69981,0.74755,0.33774,1.70772,0.94498,1.07843,0.006436,0.006436,0.006436
56,1249.39,1.62872,0.89262,1.08106,0.80681,0.69503,0.75218,0.34926,1.67845,0.89142,1.0588,0.00637,0.00637,0.00637
57,1268.37,1.62281,0.87336,1.07239,0.78298,0.68639,0.72978,0.33426,1.67311,0.92964,1.06956,0.006304,0.006304,0.006304
58,1289.21,1.60469,0.86626,1.07412,0.7878,0.67878,0.73161,0.33704,1.74049,0.92689,1.082,0.006238,0.006238,0.006238
59,1312.68,1.58167,0.84231,1.04922,0.80521,0.68451,0.7364,0.34205,1.66713,0.91802,1.0571,0.006172,0.006172,0.006172
60,1334.86,1.60629,0.85515,1.07068,0.80443,0.65966,0.7195,0.32627,1.72405,0.94007,1.07147,0.006106,0.006106,0.006106
61,1355.58,1.59941,0.85276,1.07519,0.78857,0.68547,0.72822,0.33729,1.63173,0.96421,1.05656,0.00604,0.00604,0.00604
62,1375.75,1.58659,0.83661,1.06101,0.82008,0.65363,0.72899,0.33733,1.7018,0.93296,1.06518,0.005974,0.005974,0.005974
63,1394.51,1.58621,0.85206,1.05455,0.81655,0.67304,0.75466,0.35456,1.68329,0.94555,1.06843,0.005908,0.005908,0.005908
64,1417.77,1.59642,0.83393,1.04848,0.82323,0.68563,0.75505,0.36049,1.65223,0.88526,1.05817,0.005842,0.005842,0.005842
